frame,time_s,arrow_right_pct,arrow_left_pct,bullseye_pct
0,0.0,10.0,10.0,
1,0.0167,10.0,10.0,
2,0.0333,10.0,10.0,
3,0.05,10.0,10.0,
4,0.0667,10.0,10.0,
5,0.0833,10.0,10.0,
6,0.1,10.0,10.0,
7,0.1167,10.0,10.0,
8,0.1333,10.0,10.0,
9,0.15,10.0,10.0,
10,0.1667,10.0,10.0,
11,0.1833,10.0,10.0,
12,0.2,10.0,10.0,
13,0.2167,10.0,10.0,
14,0.2333,10.0,10.0,
15,0.25,10.0,10.0,
16,0.2667,10.0,10.0,
17,0.2833,10.0,10.0,
18,0.3,10.0,10.0,
19,0.3167,10.0,10.0,
20,0.3333,10.0,10.0,
21,0.35,10.0,10.0,
22,0.3667,10.0,10.0,
23,0.3833,10.0,10.0,
24,0.4,10.0,10.0,
25,0.4167,10.0,10.0,
26,0.4333,10.0,10.0,
27,0.45,10.0,10.0,
28,0.4667,10.0,10.0,
29,0.4833,10.0,10.0,
30,0.5,10.0,10.0,
31,0.5167,10.0,10.0,
32,0.5333,10.0,10.0,
33,0.55,10.0,10.0,
34,0.5667,10.0,10.0,
35,0.5833,10.0,10.0,
36,0.6,10.0,10.0,
37,0.6167,10.0,10.0,
38,0.6333,10.0,10.0,
39,0.65,10.0,10.0,
40,0.6667,10.0,10.0,
41,0.6833,10.0,10.0,
42,0.7,10.0,10.0,
43,0.7167,10.0,10.0,
44,0.7333,10.0,10.0,
45,0.75,10.0,10.0,
46,0.7667,10.0,10.0,
47,0.7833,10.0,10.0,
48,0.8,10.0,10.0,
49,0.8167,10.0,10.0,
50,0.8333,10.0,10.0,
51,0.85,10.0,10.0,
52,0.8667,10.0,10.0,
53,0.8833,10.0,10.0,
54,0.9,10.0,10.0,
55,0.9167,10.0,10.0,
56,0.9333,10.0,10.0,
57,0.95,10.0,10.0,
58,0.9667,10.0,10.0,
59,0.9833,10.0,10.0,
60,1.0,10.0,10.0,
61,1.0167,10.0,10.0,
62,1.0333,10.13,10.0,
63,1.05,10.52,10.0,
64,1.0667,11.25,10.0,
65,1.0833,12.4,10.0,
66,1.1,14.06,10.0,
67,1.1167,16.04,10.0,
68,1.1333,18.8,10.0,
69,1.15,21.98,10.0,
70,1.1667,25.83,10.0,
71,1.1833,30.0,10.0,
72,1.2,34.69,10.0,
73,1.2167,39.69,10.0,
74,1.2333,44.9,10.0,
75,1.25,50.52,10.0,
76,1.2667,55.52,10.0,
77,1.2833,60.91,10.0,
78,1.3,65.65,10.0,
79,1.3167,70.52,10.0,
80,1.3333,74.56,10.0,
81,1.35,78.33,10.0,
82,1.3667,81.51,10.0,
83,1.3833,84.27,10.0,
84,1.4,86.25,10.0,
85,1.4167,87.81,10.0,
86,1.4333,88.93,10.0,
87,1.45,89.58,10.0,
88,1.4667,89.97,10.0,
89,1.4833,90.1,10.0,
90,1.5,10.0,10.0,
91,1.5167,10.0,10.0,
92,1.5333,10.1,10.0,
93,1.55,10.52,10.0,
94,1.5667,11.22,10.0,
95,1.5833,12.34,10.0,
96,1.6,13.96,10.0,
97,1.6167,16.07,10.0,
98,1.6333,18.75,10.0,
99,1.65,21.98,10.0,
100,1.6667,25.94,10.0,
101,1.6833,30.0,10.0,
102,1.7,34.71,10.0,
103,1.7167,34.71,10.0,
104,1.7333,44.9,10.0,
105,1.75,50.62,10.0,
106,1.7667,55.55,10.0,
107,1.7833,60.7,10.0,
108,1.8,66.12,10.0,
109,1.8167,70.31,10.0,
110,1.8333,74.58,10.0,
111,1.85,78.31,10.0,
112,1.8667,81.48,10.0,
113,1.8833,84.17,10.0,
114,1.9,86.25,10.0,
115,1.9167,87.81,10.0,
116,1.9333,88.93,10.0,
117,1.95,89.58,10.0,
118,1.9667,89.95,10.0,
119,1.9833,90.1,10.0,
120,2.0,10.0,10.0,
121,2.0167,10.0,10.0,
122,2.0333,10.1,10.0,
123,2.05,10.52,10.0,
124,2.0667,11.25,10.0,
125,2.0833,12.29,10.0,
126,2.1,13.96,10.0,
127,2.1167,16.04,10.0,
128,2.1333,18.75,10.0,
129,2.15,21.98,10.0,
130,2.1667,25.78,10.0,
131,2.1833,30.08,10.0,
132,2.2,34.69,10.0,
133,2.2167,39.77,10.0,
134,2.2333,45.21,10.0,
135,2.25,50.18,10.0,
136,2.2667,55.62,10.0,
137,2.2833,60.73,10.0,
138,2.3,65.83,10.0,
139,2.3167,70.31,10.0,
140,2.3333,74.58,10.0,
141,2.35,78.33,10.0,
142,2.3667,81.51,10.0,
143,2.3833,84.17,10.0,
144,2.4,86.25,10.0,
145,2.4167,87.81,10.0,
146,2.4333,88.96,10.0,
147,2.45,89.58,10.0,
148,2.4667,89.95,10.0,
149,2.4833,90.1,10.0,
150,2.5,10.0,10.0,
151,2.5167,10.0,10.0,
152,2.5333,10.1,10.0,
153,2.55,10.52,10.0,
154,2.5667,11.22,10.0,
155,2.5833,12.29,10.0,
156,2.6,13.96,10.0,
157,2.6167,16.04,10.0,
158,2.6333,18.75,10.0,
159,2.65,21.98,10.0,
160,2.6667,25.73,10.0,
161,2.6833,30.1,10.0,
162,2.7,34.69,10.0,
163,2.7167,40.0,10.0,
164,2.7333,45.1,10.0,
165,2.75,50.31,10.0,
166,2.7667,55.62,10.0,
167,2.7833,60.73,10.0,
168,2.8,65.62,10.0,
169,2.8167,70.36,10.0,
170,2.8333,74.56,10.0,
171,2.85,78.33,10.0,
172,2.8667,81.46,10.0,
173,2.8833,84.17,10.0,
174,2.9,86.25,10.0,
175,2.9167,87.92,10.0,
176,2.9333,88.93,10.0,
177,2.95,89.58,10.0,
178,2.9667,89.58,10.0,
179,2.9833,90.1,10.0,
180,3.0,10.0,10.0,
181,3.0167,10.0,10.0,
182,3.0333,10.1,10.0,
183,3.05,10.52,10.0,
184,3.0667,11.22,10.0,
185,3.0833,12.29,10.0,
186,3.1,13.96,10.0,
187,3.1167,16.04,10.0,
188,3.1333,18.75,10.0,
189,3.15,21.98,10.0,
190,3.1667,21.98,10.0,
191,3.1833,30.0,10.0,
192,3.2,35.1,10.0,
193,3.2167,39.69,10.0,
194,3.2333,45.05,10.0,
195,3.25,50.21,10.0,
196,3.2667,55.62,10.0,
197,3.2833,60.7,10.0,
198,3.3,65.73,10.0,
199,3.3167,70.31,10.0,
200,3.3333,74.53,10.0,
201,3.35,78.23,10.0,
202,3.3667,81.67,10.0,
203,3.3833,84.22,10.0,
204,3.4,86.25,10.0,
205,3.4167,87.81,10.0,
206,3.4333,88.96,10.0,
207,3.45,89.58,10.0,
208,3.4667,90.0,10.0,
209,3.4833,90.1,10.0,
210,3.5,90.1,10.0,
211,3.5167,90.1,10.0,
212,3.5333,90.1,10.0,
213,3.55,90.1,10.0,
214,3.5667,90.1,10.0,
215,3.5833,90.1,10.0,
216,3.6,90.1,10.0,
217,3.6167,90.1,10.0,
218,3.6333,90.1,10.0,
219,3.65,90.1,10.0,
220,3.6667,90.1,10.0,
221,3.6833,90.1,10.0,
222,3.7,90.1,10.0,
223,3.7167,90.1,10.0,
224,3.7333,90.1,10.0,
225,3.75,90.1,10.0,
226,3.7667,90.1,10.0,
227,3.7833,90.1,10.0,
228,3.8,90.1,10.0,
229,3.8167,90.1,10.0,
230,3.8333,90.1,10.0,
231,3.85,90.1,10.0,
232,3.8667,90.1,10.0,
233,3.8833,90.1,10.0,
234,3.9,90.1,10.0,
235,3.9167,90.1,10.0,
236,3.9333,90.1,10.0,
237,3.95,90.1,10.0,
238,3.9667,90.1,10.0,
239,3.9833,90.1,10.0,
240,4.0,90.1,10.0,
241,4.0167,90.1,10.0,
242,4.0333,90.1,10.0,
243,4.05,90.1,10.0,
244,4.0667,90.1,10.0,
245,4.0833,90.1,10.0,
246,4.1,90.1,10.0,
247,4.1167,90.1,10.0,
248,4.1333,90.1,10.0,
249,4.15,90.1,10.0,
250,4.1667,90.1,10.0,
251,4.1833,90.1,10.0,
252,4.2,90.1,10.0,
253,4.2167,90.1,10.0,
254,4.2333,90.1,10.0,
255,4.25,90.1,10.0,
256,4.2667,90.1,10.0,
257,4.2833,90.1,10.0,
258,4.3,90.1,10.0,
259,4.3167,90.1,10.0,
260,4.3333,90.1,10.0,
261,4.35,90.1,10.0,
262,4.3667,90.1,10.0,
263,4.3833,90.1,10.0,
264,4.4,90.1,10.0,
265,4.4167,90.1,10.0,
266,4.4333,90.1,10.0,
267,4.45,90.1,10.0,
268,4.4667,90.1,10.0,
269,4.4833,90.1,90.16,
270,4.5,90.1,90.16,
271,4.5167,90.1,90.1,
272,4.5333,90.1,90.0,
273,4.55,90.1,89.58,
274,4.5667,90.1,88.85,
275,4.5833,90.1,87.71,
276,4.6,90.1,86.04,
277,4.6167,90.1,83.65,
278,4.6333,90.1,81.04,
279,4.65,90.1,77.81,
280,4.6667,90.1,73.96,
281,4.6833,90.1,73.96,
282,4.7,90.1,65.0,
283,4.7167,90.1,59.48,
284,4.7333,90.1,54.58,
285,4.75,90.1,49.38,
286,4.7667,90.1,44.06,
287,4.7833,90.1,38.85,
288,4.8,90.1,33.96,
289,4.8167,90.1,29.27,
290,4.8333,90.1,25.21,
291,4.85,90.1,21.51,
292,4.8667,90.1,18.23,
293,4.8833,90.1,15.73,
294,4.9,90.1,13.65,
295,4.9167,90.1,12.19,
296,4.9333,90.1,11.15,
297,4.95,90.1,10.49,
298,4.9667,90.1,10.16,
299,4.9833,90.1,10.05,
300,5.0,90.1,90.16,
301,5.0167,90.1,90.1,
302,5.0333,90.1,89.97,
303,5.05,90.1,89.58,
304,5.0667,90.1,88.83,
305,5.0833,90.1,87.68,
306,5.1,90.1,86.02,
307,5.1167,90.1,83.83,
308,5.1333,90.1,81.04,
309,5.15,90.1,77.76,
310,5.1667,90.1,73.96,
311,5.1833,90.1,69.69,
312,5.2,90.1,64.9,
313,5.2167,90.1,60.0,
314,5.2333,90.1,54.69,
315,5.25,90.1,49.38,
316,5.2667,90.1,43.75,
317,5.2833,90.1,38.85,
318,5.3,90.1,33.96,
319,5.3167,90.1,29.38,
320,5.3333,90.1,25.21,
321,5.35,90.1,21.51,
322,5.3667,90.1,18.33,
323,5.3833,90.1,15.73,
324,5.4,90.1,13.65,
325,5.4167,90.1,12.19,
326,5.4333,90.1,11.15,
327,5.45,90.1,10.47,
328,5.4667,90.1,10.16,
329,5.4833,90.1,10.05,
330,5.5,90.1,90.16,
331,5.5167,90.1,90.1,
332,5.5333,90.1,90.0,
333,5.55,90.1,89.58,
334,5.5667,90.1,88.83,
335,5.5833,90.1,87.68,
336,5.6,90.1,86.02,
337,5.6167,90.1,83.7,
338,5.6333,90.1,81.09,
339,5.65,90.1,77.81,
340,5.6667,90.1,73.96,
341,5.6833,90.1,69.69,
342,5.7,90.1,65.0,
343,5.7167,90.1,59.9,
344,5.7333,90.1,54.37,
345,5.75,90.1,49.17,
346,5.7667,90.1,44.06,
347,5.7833,90.1,38.96,
348,5.8,90.1,33.98,
349,5.8167,90.1,29.38,
350,5.8333,90.1,25.21,
351,5.85,90.1,21.46,
352,5.8667,90.1,18.33,
353,5.8833,90.1,15.73,
354,5.9,90.1,13.75,
355,5.9167,90.1,12.19,
356,5.9333,90.1,11.15,
357,5.95,90.1,10.47,
358,5.9667,90.1,10.16,
359,5.9833,90.1,10.03,
360,6.0,90.1,90.16,
361,6.0167,90.1,90.1,
362,6.0333,90.1,90.0,
363,6.05,90.1,89.58,
364,6.0667,90.1,88.85,
365,6.0833,90.1,87.71,
366,6.1,90.1,86.04,
367,6.1167,90.1,83.72,
368,6.1333,90.1,81.09,
369,6.15,90.1,77.81,
370,6.1667,90.1,73.85,
371,6.1833,90.1,69.58,
372,6.2,90.1,64.84,
373,6.2167,90.1,59.95,
374,6.2333,90.1,54.79,
375,6.25,90.1,49.27,
376,6.2667,90.1,44.11,
377,6.2833,90.1,38.96,
378,6.3,90.1,33.96,
379,6.3167,90.1,29.38,
380,6.3333,90.1,25.21,
381,6.35,90.1,21.46,
382,6.3667,90.1,18.33,
383,6.3833,90.1,15.73,
384,6.4,90.1,13.7,
385,6.4167,90.1,12.19,
386,6.4333,90.1,11.15,
387,6.45,90.1,10.49,
388,6.4667,90.1,10.1,
389,6.4833,90.1,10.0,
390,6.5,90.1,90.16,
391,6.5167,90.1,90.1,
392,6.5333,90.1,90.0,
393,6.55,90.1,89.58,
394,6.5667,90.1,88.85,
395,6.5833,90.1,87.71,
396,6.6,90.1,86.04,
397,6.6167,90.1,83.75,
398,6.6333,90.1,81.09,
399,6.65,90.1,77.81,
400,6.6667,90.1,73.96,
401,6.6833,90.1,69.58,
402,6.7,90.1,64.97,
403,6.7167,90.1,59.95,
404,6.7333,90.1,54.58,
405,6.75,90.1,49.38,
406,6.7667,90.1,44.06,
407,6.7833,90.1,38.85,
408,6.8,90.1,33.96,
409,6.8167,90.1,29.38,
410,6.8333,90.1,25.21,
411,6.85,90.1,21.46,
412,6.8667,90.1,18.33,
413,6.8833,90.1,15.73,
414,6.9,90.1,15.73,
415,6.9167,90.1,12.19,
416,6.9333,90.1,11.04,
417,6.95,90.1,10.47,
418,6.9667,90.1,10.16,
419,6.9833,90.1,10.0,
420,7.0,90.1,10.0,
421,7.0167,90.1,10.0,
422,7.0333,90.1,10.0,
423,7.05,90.1,10.0,
424,7.0667,90.1,10.0,
425,7.0833,90.1,10.0,
426,7.1,90.1,10.0,
427,7.1167,90.1,10.0,
428,7.1333,90.1,10.0,
429,7.15,90.1,10.0,
430,7.1667,90.1,10.0,
431,7.1833,90.1,10.0,
432,7.2,90.1,10.0,
433,7.2167,90.1,10.0,
434,7.2333,90.1,10.0,
435,7.25,90.1,10.0,
436,7.2667,90.1,10.0,
437,7.2833,90.1,10.0,
438,7.3,90.1,10.0,
439,7.3167,90.1,10.0,
440,7.3333,90.1,10.0,
441,7.35,90.1,10.0,
442,7.3667,90.1,10.0,
443,7.3833,90.1,10.0,
444,7.4,90.1,10.0,
445,7.4167,90.1,10.0,
446,7.4333,90.1,10.0,
447,7.45,90.1,10.0,
448,7.4667,90.1,10.0,
449,7.4833,90.1,10.0,
450,7.5,90.1,10.0,
451,7.5167,,,14.77
452,7.5333,,,14.77
453,7.55,,,14.77
454,7.5667,,,14.77
455,7.5833,,,14.77
456,7.6,,,14.77
457,7.6167,,,14.77
458,7.6333,,,14.77
459,7.65,,,14.77
460,7.6667,,,14.77
461,7.6833,,,14.77
462,7.7,,,14.77
463,7.7167,,,14.77
464,7.7333,,,14.77
465,7.75,,,14.77
466,7.7667,,,14.77
467,7.7833,,,14.77
468,7.8,,,14.77
469,7.8167,,,14.77
470,7.8333,,,14.77
471,7.85,,,14.77
472,7.8667,,,14.77
473,7.8833,,,14.77
474,7.9,,,14.77
475,7.9167,,,14.77
476,7.9333,,,14.77
477,7.95,,,14.77
478,7.9667,,,14.77
479,7.9833,,,14.77
480,8.0,,,14.77
481,8.0167,,,14.77
482,8.0333,,,14.77
483,8.05,,,14.77
484,8.0667,,,14.77
485,8.0833,,,14.77
486,8.1,,,14.77
487,8.1167,,,14.77
488,8.1333,,,14.77
489,8.15,,,14.77
490,8.1667,,,8.05
491,8.1833,,,8.05
492,8.2,,,8.05
493,8.2167,,,8.1
494,8.2333,,,8.2
495,8.25,,,8.36
496,8.2667,,,8.65
497,8.2833,,,9.09
498,8.3,,,9.69
499,8.3167,,,10.52
500,8.3333,,,11.54
501,8.35,,,12.81
502,8.3667,,,14.3
503,8.3833,,,16.12
504,8.4,,,18.2
505,8.4167,,,20.52
506,8.4333,,,23.2
507,8.45,,,26.12
508,8.4667,,,29.38
509,8.4833,,,32.81
510,8.5,,,36.67
511,8.5167,,,40.7
512,8.5333,,,45.08
513,8.55,,,49.56
514,8.5667,,,54.37
515,8.5833,,,59.45
516,8.6,,,64.66
517,8.6167,,,70.18
518,8.6333,,,75.31
519,8.65,,,80.81
520,8.6667,,,86.54
521,8.6833,,,91.95
522,8.7,,,86.95
523,8.7167,,,81.3
524,8.7333,,,75.73
525,8.75,,,70.21
